sample_id,SampleCode,city,state,sample_date,Year,MonthNum,Month,CP,DOM,DOMCP,Longitude,Latitude,MAP,MAT,C3G,Forb,Leg,C4G,Woody
,S016553,Jacksonville,TX,6/19/18,0,6,Jun,97.2,620.7,6.4,-95.4,31.9,1174.88,19,0.06171595,0.029403854,0.064354613,0.720016941,0.124508642
,S018038,Jacksonville,TX,9/24/18,0,9,Sep,113.9,641.2,5.6,-95.3,31.95,1188.11,19,0.046905044,0.046712811,0.021530204,0.846405194,0.038446747
141769,BisonS018903,Jacksonville,TX,4/5/19,1,4,Apr,145.4,641.9,4.41,-95.27,31.96,1191.939941,18.89999962,0.110156073,0.130965844,0.5679145,0.16653472,0.024428863
141770,BisonS018913,Jacksonville,TX,5/6/19,1,5,May,151.8,655.9,4.32,-95.27,31.96,1191.939941,18.89999962,0,0,0,0,0
141771,BisonS018922,Jacksonville,TX,6/4/19,1,6,Jun,119.5,651,5.45,-95.27,31.96,1191.939941,18.89999962,0,0.303456426,0.57565731,0.120886264,0
141772,BisonS018933,Jacksonville,TX,7/7/19,1,7,Jul,132.7,629.8,4.75,-95.27,31.96,1191.939941,18.89999962,0,0,0,0,0
141773,BisonS018942,Jacksonville,TX,8/4/19,1,8,Aug,119.8,615.2,5.14,-95.27,31.96,1191.939941,18.89999962,0,0,0,0,0
141774,BisonS018704,Jacksonville,TX,9/6/19,1,9,Sep,119.8,627.2,5.24,-95.27,31.96,1191.939941,18.89999962,0,0,0,0,0
,S016554,Malta,MT,6/21/18,0,6,Jun,86.7,626.7,7.2,-107.96,48.17,310.46,6.7,0.077666855,0.881713187,0.024277399,0.006673644,0.009668915
,S018027,Malta,MT,9/25/18,0,9,Sep,47.2,594.8,12.6,-108.05,47.86,304.98,7.2,0.249104453,0.376706399,0.35230907,0.021589634,0.000290444
140984,Bison140984,Malta,MT,4/3/19,1,4,Apr,50.1,570.3,11.38,-107.87,48.36,307.8500061,6.510000229,0.02750865,0.829757786,0.142041523,0.000692041,0
140985,Bison140985,Malta,MT,5/1/19,1,5,May,107.5,624.5,5.81,-107.87,48.36,307.8500061,6.510000229,0.294345183,0.687695709,0.008933504,0,0.009025604
140986,BisonS018918,Malta,MT,6/4/19,1,6,Jun,106.5,646.8,6.07,-107.87,48.36,307.8500061,6.510000229,0.15827261,0.798221174,0.035201457,0.004875697,0.003429062
140987,BisonS018928,Malta,MT,7/1/19,1,7,Jul,101.8,652.2,6.41,-107.87,48.36,307.8500061,6.510000229,0.208479952,0.119509969,0.650810201,0.021199879,0
140988,Bison140988,Malta,MT,8/1/19,1,8,Aug,99.6,627.8,6.3,-107.87,48.36,307.8500061,6.510000229,0.025956802,0.181318681,0.788114185,0.004610332,0
140989,BisonS018966,Malta,MT,9/2/19,1,9,Sep,73.5,619.3,8.43,-107.87,48.36,307.8500061,6.510000229,0.01640392,0.074946739,0.907584153,0.001065189,0
,S016547,Syracuse,UT,6/18/18,0,6,Jun,80.7,618.5,7.7,-112.23,41.03,446.96,10.8,0.312045271,0.357649637,0,0.328247619,0.002057472
,S018036,Syracuse,UT,9/24/18,0,9,Sep,21.2,521.7,24.6,-112.12,41.09,433.04,11.4,0.160674514,0.743875282,0.024180717,0.071269487,0
140547,Bison140547,Syracuse,UT,4/8/19,1,4,Apr,139.1,633.7,4.56,-112.06,41.09,454.3599854,11.19999981,0.934594692,0.009067279,0.035422838,0.020915191,0
140548,Bison140548,Syracuse,UT,5/8/19,1,5,May,108,637.3,5.9,-112.06,41.09,454.3599854,11.19999981,0.289100962,0.445959251,0.035673711,0.229266076,0
140549,BisonS018924,Syracuse,UT,6/3/19,1,6,Jun,114,628,5.51,-112.06,41.09,454.3599854,11.19999981,0.193168036,0.361945829,0,0.444886135,0
140550,Bison140550,Syracuse,UT,7/2/19,1,7,Jul,70.1,585.3,8.35,-112.06,41.09,454.3599854,11.19999981,0.542930591,0.398200515,0,0.057583548,0.001285347
140551,BisonS018941,Syracuse,UT,8/6/19,1,8,Aug,49,566.6,11.56,-112.06,41.09,454.3599854,11.19999981,0.274198769,0.317146866,0.005611309,0.397917341,0.005125715
140552,BisonS018701,Syracuse,UT,9/3/19,1,9,Sep,41.8,551.7,13.2,-112.06,41.09,454.3599854,11.19999981,0.33747412,0.360248448,0,0.302277433,0
,S016587,Dadeville,MO,6/25/18,0,6,Jun,94.3,622.3,6.6,-93.69,37.48,1141.34,13.3,0.19095638,0.024249658,0.704281834,0.079711855,0.000800272
,S018037,Dadeville,MO,9/24/18,0,9,Sep,133.1,612,4.6,-93.69,37.48,1141.34,13.3,0.124167828,0.058213347,0.205604581,0.608917789,0.003096455
